<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^VN50,20170913,660.68,665.11,653.52,659.80,44505540,660.68,665.11,653.52,659.80,0,0,0
^VN50,20170912,659.29,660.45,656.27,658.43,4410670,659.29,660.45,656.27,658.43,0,0,0
^VN50,20170911,662.14,669.95,654.95,657.04,37862100,662.14,669.95,654.95,657.04,0,0,0
^VN50,20170908,659.66,667.53,654.85,661.92,36562190,659.66,667.53,654.85,661.92,0,0,0
^VN50,20170907,659.92,663.93,654.12,658.96,42160930,659.92,663.93,654.12,658.96,0,0,0
^VN50,20170906,662.28,665.22,654.80,659.75,37303040,662.28,665.22,654.80,659.75,0,0,0
^VN50,20170905,659.22,666.12,654.31,662.75,38426900,659.22,666.12,654.31,662.75,0,0,0
^VN50,20170901,648.56,656.67,645.03,652.84,41095670,648.56,656.67,645.03,652.84,0,0,0
^VN50,20170831,644.56,655.71,641.49,647.42,49843400,644.56,655.71,641.49,647.42,0,0,0
^VN50,20170830,637.13,647.77,634.64,644.46,37494470,637.13,647.77,634.64,644.46,0,0,0
^VN50,20170829,638.92,644.49,633.35,637.15,56926700,638.92,644.49,633.35,637.15,0,0,0
^VN50,20170828,636.65,642.53,631.86,640.62,57401010,636.65,642.53,631.86,640.62,0,0,0
^VN50,20170825,633.71,639.59,631.13,636.52,40049290,633.71,639.59,631.13,636.52,0,0,0
^VN50,20170824,632.41,638.44,628.84,633.68,38643240,632.41,638.44,628.84,633.68,0,0,0
^VN50,20170823,630.59,634.08,626.00,631.58,32358500,630.59,634.08,626.00,631.58,0,0,0
^VN50,20170822,633.40,636.32,626.98,629.59,41531700,633.40,636.32,626.98,629.59,0,0,0
^VN50,20170821,634.73,638.84,630.68,634.18,38263410,634.73,638.84,630.68,634.18,0,0,0
^VN50,20170818,631.78,639.27,628.15,635.20,40657750,631.78,639.27,628.15,635.20,0,0,0
^VN50,20170817,637.83,641.78,630.00,633.92,59496550,637.83,641.78,630.00,633.92,0,0,0
^VN50,20170816,636.36,641.15,631.35,637.73,60821800,636.36,641.15,631.35,637.73,0,0,0
^VN50,20170815,643.11,645.90,635.36,637.43,48521130,643.11,645.90,635.36,637.43,0,0,0
^VN50,20170814,637.28,645.01,634.70,642.62,54972080,637.28,645.01,634.70,642.62,0,0,0
^VN50,20170811,635.33,640.67,630.24,637.34,45555980,635.33,640.67,630.24,637.34,0,0,0
^VN50,20170810,633.79,641.66,630.75,636.11,54519570,633.79,641.66,630.75,636.11,0,0,0
^VN50,20170809,646.72,649.79,630.85,635.73,80143250,646.72,649.79,630.85,635.73,0,0,0
^VN50,20170808,651.43,656.52,645.57,648.45,64248460,651.43,656.52,645.57,648.45,0,0,0
^VN50,20170807,652.40,655.93,647.14,651.49,58416300,652.40,655.93,647.14,651.49,0,0,0
^VN50,20170804,651.86,656.38,646.36,651.38,58011590,651.86,656.38,646.36,651.38,0,0,0
^VN50,20170803,649.83,657.19,646.29,651.61,64024050,649.83,657.19,646.29,651.61,0,0,0
^VN50,20170802,645.49,653.75,640.84,648.82,66877990,645.49,653.75,640.84,648.82,0,0,0
^VN50,20170801,650.30,656.01,643.78,648.62,74804380,650.30,656.01,643.78,648.62,0,0,0
^VN50,20170731,643.84,653.24,640.15,649.47,91624510,643.84,653.24,640.15,649.47,0,0,0
^VN50,20170728,639.09,646.24,636.35,642.86,57810950,639.09,646.24,636.35,642.86,0,0,0
^VN50,20170727,639.49,644.07,636.33,639.41,43339580,639.49,644.07,636.33,639.41,0,0,0
^VN50,20170726,636.21,644.60,633.23,641.32,52157010,636.21,644.60,633.23,641.32,0,0,0
^VN50,20170725,630.02,636.63,627.30,634.59,39373010,630.02,636.63,627.30,634.59,0,0,0
^VN50,20170724,630.24,634.91,623.67,631.55,44259530,630.24,634.91,623.67,631.55,0,0,0
^VN50,20170721,635.53,640.18,628.06,631.38,50538390,635.53,640.18,628.06,631.38,0,0,0
^VN50,20170720,634.30,639.90,629.27,636.09,60901330,634.30,639.90,629.27,636.09,0,0,0
^VN50,20170719,640.21,644.77,633.54,636.39,64520370,640.21,644.77,633.54,636.39,0,0,0
^VN50,20170718,636.39,643.52,630.94,637.86,81904120,636.39,643.52,630.94,637.86,0,0,0
^VN50,20170717,651.21,653.44,635.27,640.17,67389870,651.21,653.44,635.27,640.17,0,0,0
^VN50,20170714,655.19,658.49,648.96,652.83,72102670,655.19,658.49,648.96,652.83,0,0,0
^VN50,20170713,655.39,658.20,648.40,654.74,48264450,655.39,658.20,648.40,654.74,0,0,0
^VN50,20170712,650.70,656.37,643.66,651.94,51403030,650.70,656.37,643.66,651.94,0,0,0
^VN50,20170711,643.83,650.61,637.29,647.92,75825330,643.83,650.61,637.29,647.92,0,0,0
^VN50,20170710,655.02,658.29,639.71,644.82,72454970,655.02,658.29,639.71,644.82,0,0,0
^VN50,20170707,664.90,668.93,652.56,654.52,79822350,664.90,668.93,652.56,654.52,0,0,0
^VN50,20170706,662.04,667.04,657.50,662.86,67573860,662.04,667.04,657.50,662.86,0,0,0
^VN50,20170705,658.92,663.02,653.60,659.72,61005480,658.92,663.02,653.60,659.72,0,0,0
^VN50,20170704,660.70,663.28,652.92,657.81,85692160,660.70,663.28,652.92,657.81,0,0,0
^VN50,20170703,660.30,667.29,654.91,660.57,69356960,660.30,667.29,654.91,660.57,0,0,0
^VN50,20170630,656.96,663.51,651.92,660.00,64965870,656.96,663.51,651.92,660.00,0,0,0
^VN50,20170629,655.99,661.03,650.75,655.40,65227030,655.99,661.03,650.75,655.40,0,0,0
^VN50,20170628,651.79,656.57,647.08,654.06,77683100,651.79,656.57,647.08,654.06,0,0,0
^VN50,20170627,656.33,658.77,649.14,651.48,66165880,656.33,658.77,649.14,651.48,0,0,0
^VN50,20170626,652.19,659.58,648.03,655.26,49070160,652.19,659.58,648.03,655.26,0,0,0
^VN50,20170623,650.41,655.00,645.75,651.74,55359790,650.41,655.00,645.75,651.74,0,0,0
^VN50,20170622,655.63,660.31,648.61,651.59,63996560,655.63,660.31,648.61,651.59,0,0,0
^VN50,20170621,656.77,661.60,645.00,655.74,68225720,656.77,661.60,645.00,655.74,0,0,0
^VN50,20170620,661.43,664.49,653.48,658.03,60076320,661.43,664.49,653.48,658.03,0,0,0
^VN50,20170619,657.07,663.18,652.65,659.63,61412350,657.07,663.18,652.65,659.63,0,0,0
^VN50,20170616,656.89,660.66,649.29,654.05,95641080,656.89,660.66,649.29,654.05,0,0,0
^VN50,20170615,650.41,658.21,646.93,653.17,62710770,650.41,658.21,646.93,653.17,0,0,0
^VN50,20170614,648.04,655.99,642.37,649.97,56833670,648.04,655.99,642.37,649.97,0,0,0
^VN50,20170613,642.75,649.25,638.27,646.74,48548190,642.75,649.25,638.27,646.74,0,0,0
^VN50,20170612,645.12,649.20,638.66,643.46,49962200,645.12,649.20,638.66,643.46,0,0,0
^VN50,20170609,644.25,650.23,640.85,644.80,53400740,644.25,650.23,640.85,644.80,0,0,0
^VN50,20170608,643.99,648.54,637.27,642.48,51942410,643.99,648.54,637.27,642.48,0,0,0
^VN50,20170607,644.12,649.70,638.38,644.01,60842150,644.12,649.70,638.38,644.01,0,0,0
^VN50,20170606,635.04,644.59,632.08,641.98,61856870,635.04,644.59,632.08,641.98,0,0,0
^VN50,20170605,629.38,639.51,625.79,633.89,53026440,629.38,639.51,625.79,633.89,0,0,0
^VN50,20170602,628.45,633.07,622.76,628.40,43404840,628.45,633.07,622.76,628.40,0,0,0
^VN50,20170601,628.10,633.46,623.83,629.16,42007150,628.10,633.46,623.83,629.16,0,0,0
^VN50,20170531,626.22,634.51,620.35,625.63,56596760,626.22,634.51,620.35,625.63,0,0,0
^VN50,20170530,633.39,636.62,622.68,624.95,77906100,633.39,636.62,622.68,624.95,0,0,0
^VN50,20170529,633.79,640.74,627.45,632.84,73896310,633.79,640.74,627.45,632.84,0,0,0
^VN50,20170526,627.33,636.70,623.54,630.85,56557060,627.33,636.70,623.54,630.85,0,0,0
^VN50,20170525,632.13,636.56,623.28,627.56,61344230,632.13,636.56,623.28,627.56,0,0,0
^VN50,20170524,628.73,636.57,622.16,631.27,54389080,628.73,636.57,622.16,631.27,0,0,0
^VN50,20170523,630.02,636.09,623.50,627.25,57645300,630.02,636.09,623.50,627.25,0,0,0
^VN50,20170522,622.68,636.42,618.59,629.82,70990470,622.68,636.42,618.59,629.82,0,0,0
^VN50,20170519,617.27,624.34,612.94,620.33,54922840,617.27,624.34,612.94,620.33,0,0,0
^VN50,20170518,613.73,622.71,610.38,616.43,58416580,613.73,622.71,610.38,616.43,0,0,0
^VN50,20170517,611.86,621.57,608.79,616.77,45440480,611.86,621.57,608.79,616.77,0,0,0
^VN50,20170516,613.63,620.34,608.45,612.19,75351620,613.63,620.34,608.45,612.19,0,0,0
^VN50,20170515,614.07,619.29,608.37,613.83,52862510,614.07,619.29,608.37,613.83,0,0,0
^VN50,20170512,611.87,617.90,608.53,612.78,46357950,611.87,617.90,608.53,612.78,0,0,0
^VN50,20170511,613.98,617.34,609.52,612.27,51097940,613.98,617.34,609.52,612.27,0,0,0
^VN50,20170510,610.65,618.86,607.75,612.76,57914230,610.65,618.86,607.75,612.76,0,0,0
^VN50,20170509,607.26,615.46,602.27,610.98,57364020,607.26,615.46,602.27,610.98,0,0,0
^VN50,20170508,608.96,613.64,602.96,607.54,60444070,608.96,613.64,602.96,607.54,0,0,0
^VN50,20170505,610.22,614.17,605.39,609.19,47906940,610.22,614.17,605.39,609.19,0,0,0
^VN50,20170504,606.91,616.65,603.10,611.51,66397960,606.91,616.65,603.10,611.51,0,0,0
^VN50,20170503,606.48,612.42,601.56,606.97,51610900,606.48,612.42,601.56,606.97,0,0,0
^VN50,20170428,603.28,609.91,599.36,605.25,63444080,603.28,609.91,599.36,605.25,0,0,0
^VN50,20170427,600.88,608.96,597.21,604.57,54752140,600.88,608.96,597.21,604.57,0,0,0
^VN50,20170426,596.88,601.85,592.90,599.11,39163430,596.88,601.85,592.90,599.11,0,0,0
^VN50,20170425,595.92,600.59,591.71,596.57,31175660,595.92,600.59,591.71,596.57,0,0,0
^VN50,20170424,598.21,603.52,591.21,595.57,41977220,598.21,603.52,591.21,595.57,0,0,0
^VN50,20170421,600.37,606.10,595.63,598.82,33719290,600.37,606.10,595.63,598.82,0,0,0
^VN50,20170420,606.69,608.74,597.77,600.30,37344160,606.69,608.74,597.77,600.30,0,0,0
^VN50,20170419,602.73,608.94,599.20,605.53,46305470,602.73,608.94,599.20,605.53,0,0,0
^VN50,20170418,596.26,604.86,591.76,603.01,55488720,596.26,604.86,591.76,603.01,0,0,0
^VN50,20170417,603.26,609.04,592.01,596.30,57260890,603.26,609.04,592.01,596.30,0,0,0
^VN50,20170414,608.22,611.87,597.70,603.64,61084020,608.22,611.87,597.70,603.64,0,0,0
^VN50,20170413,611.76,618.08,608.02,611.16,60505240,611.76,618.08,608.02,611.16,0,0,0
^VN50,20170412,616.76,620.62,609.36,612.87,78120700,616.76,620.62,609.36,612.87,0,0,0
^VN50,20170411,614.19,621.10,611.21,616.26,64960080,614.19,621.10,611.21,616.26,0,0,0
^VN50,20170410,614.23,620.06,609.61,614.37,54615860,614.23,620.06,609.61,614.37,0,0,0
^VN50,20170407,607.31,616.18,604.17,613.46,84116980,607.31,616.18,604.17,613.46,0,0,0
^VN50,20170405,614.74,618.87,607.86,611.04,76110800,614.74,618.87,607.86,611.04,0,0,0
^VN50,20170404,615.41,620.65,611.02,615.54,71957640,615.41,620.65,611.02,615.54,0,0,0
^VN50,20170403,614.71,619.71,609.06,613.74,71165930,614.71,619.71,609.06,613.74,0,0,0
^VN50,20170331,617.26,621.98,610.52,613.44,63760790,617.26,621.98,610.52,613.44,0,0,0
^VN50,20170330,615.62,622.08,611.16,615.42,70636370,615.62,622.08,611.16,615.42,0,0,0
^VN50,20170329,611.98,617.39,608.21,613.81,66691550,611.98,617.39,608.21,613.81,0,0,0
^VN50,20170328,618.10,621.88,608.15,612.19,75565910,618.10,621.88,608.15,612.19,0,0,0
^VN50,20170327,617.14,623.82,611.99,617.25,85857130,617.14,623.82,611.99,617.25,0,0,0
^VN50,20170324,616.85,621.45,610.66,615.62,92583180,616.85,621.45,610.66,615.62,0,0,0
^VN50,20170323,604.39,618.05,602.45,614.59,65446650,604.39,618.05,602.45,614.59,0,0,0
^VN50,20170322,605.38,615.70,599.69,604.91,88163860,605.38,615.70,599.69,604.91,0,0,0
^VN50,20170321,606.22,614.15,597.90,605.32,71571540,606.22,614.15,597.90,605.32,0,0,0
^VN50,20170320,602.09,610.64,597.65,604.00,48548190,602.09,610.64,597.65,604.00,0,0,0
^VN50,20170317,599.63,606.30,595.80,598.56,110481540,599.63,606.30,595.80,598.56,0,0,0
^VN50,20170316,594.68,601.23,592.61,598.33,57621690,594.68,601.23,592.61,598.33,0,0,0
^VN50,20170315,595.07,599.74,589.79,594.13,40569230,595.07,599.74,589.79,594.13,0,0,0
^VN50,20170314,592.25,598.67,589.91,593.90,33045040,592.25,598.67,589.91,593.90,0,0,0
^VN50,20170313,593.74,597.43,589.68,592.06,35479660,593.74,597.43,589.68,592.06,0,0,0
^VN50,20170310,595.86,601.55,591.59,594.28,62423830,595.86,601.55,591.59,594.28,0,0,0
^VN50,20170309,596.02,601.13,592.94,595.86,67571770,596.02,601.13,592.94,595.86,0,0,0
^VN50,20170308,593.18,601.73,588.94,595.52,38623420,593.18,601.73,588.94,595.52,0,0,0
^VN50,20170307,592.63,594.20,594.04,594.08,2059130,592.63,594.20,594.04,594.08,0,0,0
^VN50,20170306,594.95,600.35,589.73,594.16,46255230,594.95,600.35,589.73,594.16,0,0,0
^VN50,20170303,589.70,596.00,585.20,592.88,43127440,589.70,596.00,585.20,592.88,0,0,0
^VN50,20170302,593.38,596.68,585.93,588.94,44585560,593.38,596.68,585.93,588.94,0,0,0
^VN50,20170301,592.37,598.26,586.05,591.87,55355230,592.37,598.26,586.05,591.87,0,0,0
^VN50,20170228,601.44,603.67,591.88,593.88,44672370,601.44,603.67,591.88,593.88,0,0,0
^VN50,20170227,600.27,605.07,591.57,600.18,56577420,600.27,605.07,591.57,600.18,0,0,0
^VN50,20170224,597.26,603.74,590.32,596.45,75905510,597.26,603.74,590.32,596.45,0,0,0
^VN50,20170223,601.01,605.40,592.34,597.99,57848700,601.01,605.40,592.34,597.99,0,0,0
^VN50,20170222,605.44,609.91,596.03,600.71,68410530,605.44,609.91,596.03,600.71,0,0,0
^VN50,20170221,602.86,610.91,598.66,605.01,60610860,602.86,610.91,598.66,605.01,0,0,0
^VN50,20170220,599.30,607.66,593.35,601.44,77997430,599.30,607.66,593.35,601.44,0,0,0
^VN50,20170217,604.04,607.08,595.71,600.84,62830040,604.04,607.08,595.71,600.84,0,0,0
^VN50,20170216,609.05,615.53,600.35,603.82,79071800,609.05,615.53,600.35,603.82,0,0,0
^VN50,20170215,601.97,611.31,598.89,607.55,62027220,601.97,611.31,598.89,607.55,0,0,0
^VN50,20170214,602.80,607.15,597.88,601.28,66289450,602.80,607.15,597.88,601.28,0,0,0
^VN50,20170213,601.93,605.56,597.77,602.37,52362530,601.93,605.56,597.77,602.37,0,0,0
^VN50,20170210,601.53,605.54,597.07,601.40,48824250,601.53,605.54,597.07,601.40,0,0,0
^VN50,20170209,601.02,604.87,597.69,601.15,52762870,601.02,604.87,597.69,601.15,0,0,0
^VN50,20170208,599.29,602.76,594.85,599.61,46291730,599.29,602.76,594.85,599.61,0,0,0
^VN50,20170207,595.98,602.17,592.10,598.29,55527350,595.98,602.17,592.10,598.29,0,0,0
^VN50,20170206,596.72,599.96,590.62,595.58,38588980,596.72,599.96,590.62,595.58,0,0,0
^VN50,20170203,600.94,606.00,592.53,595.38,40732060,600.94,606.00,592.53,595.38,0,0,0
^VN50,20170202,592.13,601.11,587.26,597.39,36055270,592.13,601.11,587.26,597.39,0,0,0
